"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb",
"Gets the list of status permissions for a customer group","Gets the list of status permissions for a customer group","Krijgt de lijst van de status van rechten voor een klantengroep","Obtiene la lista de permisos de estado para un grupo de clientes","获取身份的权限列表中的客户群","Ruft die Liste der Status-Berechtigungen für eine Kundengruppe","Obtient la liste des autorisations d'état pour un groupe de clients","Ottiene l'elenco dei permessi di stato per un gruppo di clienti","Obtém a lista de permissões de status para um grupo de clientes","Παίρνει τον κατάλογο των δικαιωμάτων κατάστασης για μια ομάδα πελατών","Pobiera listę uprawnień statusu dla grupy klientów","Får en liste over de tilladelser status for en kundegruppe","Saa Tila- oikeuksia asiakasryhmälle","Får en liste over status tillatelser for en kundegruppe","يحصل على قائمة الأذونات الحالة لمجموعة من العملاء","고객 그룹에 대한 상태 권한의 목록을 가져옵니다","顧客グループのステータス権限のリストを取得します","מקבל הרשימה של הרשאות מעמד לקבוצת לקוחות","Hämtar listan över status behörigheter för en kundgrupp","Získává seznam stavových oprávnění pro skupinu zákazníků","Получает список разрешений статуса для группы клиентов","Nakakakuha ng listahan ng mga pahintulot ng katayuan para sa isang grupo ng customer","Nakakuha sa listahan sa mga status Permissions alang sa usa ka customer sa grupo",
"Gets the list of status permissions for a user group","Gets the list of status permissions for a user group","Krijgt de lijst van de status van rechten voor een gebruikersgroep","Obtiene la lista de permisos de estado para un grupo de usuarios","获取身份的权限列表中的用户组","Ruft die Liste der Status-Berechtigungen für eine Benutzergruppe","Obtient la liste des autorisations d'état pour un groupe d'utilisateurs","Ottiene l'elenco dei permessi di stato per un gruppo di utenti","Obtém a lista de permissões de status para um grupo de usuários","Παίρνει τον κατάλογο των δικαιωμάτων κατάστασης για μια ομάδα χρηστών","Pobiera listę uprawnień statusu dla grupy użytkowników","Får en liste over de tilladelser status for en brugergruppe","Saa Tila- oikeuksia käyttäjäryhmälle","Får en liste over status tillatelser for en brukergruppe","يحصل على قائمة الأذونات الحالة لمجموعة مستخدمين","사용자 그룹에 대한 상태 권한의 목록을 가져옵니다","ユーザグループのステータス権限の一覧を取得します。","מקבל הרשימה של הרשאות מעמד לקבוצת משתמשים","Hämtar listan över status behörigheter för en användargrupp","Získává seznam stavových oprávnění pro skupinu uživatelů","Получает список разрешений статуса для группы пользователей","Nakakakuha ng listahan ng mga pahintulot ng katayuan para sa grupo ng isang user","Nakakuha sa listahan sa mga status Permissions alang sa usa ka user nga grupo",
"Gets the status permissions for a user","Gets the status permissions for a user","Krijgt de status van rechten voor een gebruiker","Obtiene los permisos de estado para un usuario","获取状态权限的用户","Ruft die Status Berechtigungen für einen Benutzer","Obtient les autorisations d'état pour un utilisateur","Ottiene i permessi di stato per un utente","Obtém as permissões de status para um usuário","Παίρνει τα δικαιώματα για την κατάσταση ενός χρήστη","Pobiera uprawnienia stanu dla użytkownika","Får tilladelser status for en bruger","Saa tila käyttöoikeuksia käyttäjä","Får status tillatelser for en bruker","يحصل على أذونات حالة لمستخدم","사용자의 상태 권한을 가져옵니다","ユーザーのステータス権限を取得します","מקבל את הרשאות מעמד למשתמש","Får status behörigheter för en användare","Získá status oprávnění pro uživatele","Получает разрешения статуса для пользователя","Nakakakuha ng pahintulot status para sa isang user","Nakakuha ang kahimtang Permissions alang sa usa ka user",
"Gives a list of all model url namings for a configuration of a website.","Gives a list of all model url namings for a configuration of a website.","Geeft een overzicht van alle modellen url namings voor een configuratie van een website.","Proporciona una lista de todos NOMBRAMIENTO modelo url para una configuración de un sitio web.","给出了所有模型的url namings的一个网站的配置的列表。","Gibt eine Liste aller Modell url Nennungen für eine Konfiguration einer Website.","Donne une liste de toutes les dénominations modèle d'URL pour une configuration d'un site web.","Fornisce un elenco di tutte le namings modello url per una configurazione di un sito web.","Dá uma lista de todos os namings modelo de URL para uma configuração de um site.","Δίνει μια λίστα όλων των namings μοντέλο url για τη διαμόρφωση μιας ιστοσελίδας.","Podaje listę wszystkich namings modelu URL konfiguracji strony internetowej.","Giver en liste over alle model url namings til en konfiguration af en hjemmeside.","Antaa luettelo kaikista malli url namings varten konfiguraatiota verkkosivuilla.","Gir en liste over alle modell url namings for en konfigurasjon av et nettsted.","يعطي قائمة من جميع namings نموذج رابط لتكوين موقع على شبكة الانترنت.","웹 사이트의 구성에 대한 모든 모델의 URL 인 이름의 목록을 제공합니다.","ウェブサイトの構成のためのすべてのモデルのURLネーミング・リストを提供します。","נותן רשימה של כל namings url המודל לתצורה של אתר.","Ger en lista över alla modell url namings för en konfiguration av en webbplats.","Dává seznam všech modelu url namings pro konfiguraci webové stránky.","Дает список всех URL модель namings для конфигурации веб-сайта.","Binibigyan ng isang listahan ng lahat ng namings url modelo para sa isang configuration ng isang website.","Naghatag ang usa ka listahan sa tanan nga mga modelo nga url namings alang sa usa ka kontorno sa usa ka website.",
"Gives a list of all the ","Gives a list of all the ","Geeft een overzicht van alle","Da una lista de todos los","给出的所有的一个列表","Gibt eine Liste aller","Donne une liste de tous les","Fornisce un elenco di tutte le","Dá uma lista de todos os","Δίνει μια λίστα με όλα τα","Podaje listę wszystkich","Giver en liste over alle de","Antaa luettelo kaikista","Gir en liste over alle","يعطي قائمة من جميع","모든 목록을 준다","全てのリストを提供します","נותן רשימה של כל","Ger en lista över alla","Dává seznam všech","Дает список всех","Binibigyan ng isang listahan ng lahat ng","Naghatag og usa ka listahan sa tanan nga mga",
"Gives a list of all the extra data fields for a payment method","Gives a list of all the extra data fields for a payment method","Geeft een overzicht van alle extra velden voor een betaalmethode","Da una lista de todos los campos de datos adicionales para un método de pago","给出了所有的额外的数据字段的列表的支付方法","Gibt eine Liste von all den zusätzlichen Datenfelder für eine Zahlungsmethode","Donne une liste de tous les champs de données supplémentaires pour un mode de paiement","Fornisce un elenco di tutti i campi di dati supplementari per un metodo di pagamento","Dá uma lista de todos os campos de dados adicionais para um método de pagamento","Δίνει μια λίστα με όλα τα επιπλέον πεδία δεδομένων για μια μέθοδο πληρωμής","Podaje listę wszystkich dodatkowych pól danych dla formy płatności","Giver en liste over alle de ekstra datafelter for en betalingsmetode","Antaa luettelon kaikista ylimääräisiä tietokenttiä maksutavan","Gir en liste over alle de ekstra datafeltene for en betalingsmåte","يعطي قائمة من كافة الحقول بيانات إضافية عن طريقة الدفع","지불 방법에 대한 모든 여분 데이터 필드들의리스트를 제공","お支払い方法のすべての余分なデータフィールドのリストを提供します","נותן רשימה של כל שדות נתונים נוספים עבור שיטת תשלום","Ger en lista över alla de extra datafält för en betalningsmetod","Dává seznam všech dodatečných datových polích na způsob platby","Дает список всех дополнительных полей данных для способа оплаты","Binibigyan ng isang listahan ng lahat ng mga dagdag na mga patlang ng data para sa isang paraan ng pagbabayad","Naghatag ang usa ka listahan sa tanan nga mga dugang nga data kaumahan alang sa usa ka pagbayad nga pamaagi",
"Gives a list of all the extra data fields for a payment processor","Gives a list of all the extra data fields for a payment processor","Geeft een overzicht van alle extra velden voor een payment processor","Da una lista de todos los campos de datos adicionales para un procesador de pagos","给出了所有的额外的数据字段的列表要支付处理器","Gibt eine Liste von all den zusätzlichen Datenfelder für eine Zahlung Prozessor","Donne une liste de tous les champs de données supplémentaires pour un processeur de paiement","Fornisce un elenco di tutti i campi di dati in più per un processore di pagamento","Dá uma lista de todos os campos de dados adicionais para um processador de pagamento","Δίνει μια λίστα με όλα τα επιπλέον πεδία δεδομένων για έναν επεξεργαστή πληρωμής","Podaje listę wszystkich dodatkowych pól danych do przetwarzania płatności","Giver en liste over alle de ekstra datafelter for en betaling processor","Antaa luettelon kaikista ylimääräisiä tietokenttiä maksu-prosessori","Gir en liste over alle de ekstra datafeltene for en betaling prosessor","يعطي قائمة من كافة الحقول بيانات إضافية لمعالج الدفع","결제 처리부 모든 추가 데이터 필드들의리스트를 제공","支払い処理のために、すべての余分なデータ・フィールドのリストを提供します","נותן רשימה של כל שדות נתונים נוספים עבור מעבד תשלום","Ger en lista över alla de extra datafält för en betalning processor","Dává seznam všech dodatečných datových polí pro zpracování plateb","Дает список всех дополнительных полей данных для процессора оплаты","Binibigyan ng isang listahan ng lahat ng mga dagdag na mga patlang ng data para sa isang payment processor","Naghatag ang usa ka listahan sa tanan nga mga dugang nga data kaumahan alang sa usa ka pagbayad nga processor",
"Gives a list of all the extra data fields for a shipping method","Gives a list of all the extra data fields for a shipping method","Geeft een overzicht van alle extra velden voor een verzendmethode","Da una lista de todos los campos de datos adicionales para un método de envío","给所有额外的数据字段列表的送货方式","Gibt eine Liste von all den zusätzlichen Datenfelder für eine Versandart","Donne une liste de tous les champs de données supplémentaires pour une méthode d'expédition","Fornisce un elenco di tutti i campi di dati in più per un metodo di spedizione","Dá uma lista de todos os campos de dados adicionais para um método de envio","Δίνει μια λίστα με όλα τα επιπλέον πεδία δεδομένων για μια μέθοδο αποστολής","Podaje listę wszystkich dodatkowych pól danych dla metody wysyłki","Giver en liste over alle de ekstra datafelter for en forsendelsesmetode","Antaa luettelon kaikista ylimääräisiä tietokenttiä toimitustapa","Gir en liste over alle de ekstra datafeltene for en leveringsmetode","يعطي قائمة من كافة الحقول بيانات إضافية عن طريقة الشحن","배송 방법에 대한 모든 여분 데이터 필드들의리스트를 제공","配送方法のために、すべての余分なデータフィールドのリストを提供します","נותן רשימה של כל שדות נתונים נוספים עבור שיטת משלוח","Ger en lista över alla de extra datafält för en leveransmetod","Dává seznam všech dodatečných datových polích na způsob dopravy","Дает список всех дополнительных полей данных для метода доставки","Binibigyan ng isang listahan ng lahat ng mga dagdag na mga patlang ng data para sa isang pamamaraan sa pagpapadala","Naghatag ang usa ka listahan sa tanan nga mga dugang nga data kaumahan alang sa usa ka shipping pamaagi",
"Gives a list of all the extra data fields for a shipping processor","Gives a list of all the extra data fields for a shipping processor","Geeft een overzicht van alle extra velden voor een scheepvaart-processor","Da una lista de todos los campos de datos adicionales para un procesador de envío","给出了所有的额外的数据字段的列表为一个航运处理器","Gibt eine Liste von all den zusätzlichen Datenfelder für einen Versand-Prozessor","Donne une liste de tous les champs de données supplémentaires pour un processeur d'expédition","Fornisce un elenco di tutti i campi di dati in più per un processore di spedizione","Dá uma lista de todos os campos de dados adicionais para um processador de transporte","Δίνει μια λίστα με όλα τα επιπλέον πεδία δεδομένων για έναν επεξεργαστή ναυτιλία","Podaje listę wszystkich dodatkowych pól danych dla procesora wysyłki","Giver en liste over alle de ekstra datafelter for en forsendelse processor","Antaa luettelon kaikista ylimääräisiä tietokenttiä merenkulun prosessorin","Gir en liste over alle de ekstra datafeltene for en shipping-prosessor","يعطي قائمة من كافة الحقول بيانات إضافية لمعالج الشحن","배송 처리부 모든 추가 데이터 필드들의리스트를 제공","出荷プロセッサのすべての余分なデータフィールドのリストを提供します","נותן רשימה של כל שדות נתונים נוספים עבור מעבד משלוח","Ger en lista över alla de extra datafält för en transportprocessor","Dává seznam všech dodatečných datových polích na procesoru přepravní","Дает список всех дополнительных полей данных для процессора доставки","Binibigyan ng isang listahan ng lahat ng mga dagdag na mga patlang ng data para sa isang processor pagpapadala","Naghatag ang usa ka listahan sa tanan nga mga dugang nga data kaumahan alang sa usa ka shipping processor",
"Gives a list of all the menu options for a website (including sub menu options).","Gives a list of all the menu options for a website (including sub menu options).","Geeft een overzicht van alle menu-opties voor een website (inclusief submenu opties).","Proporciona una lista de todas las opciones de menú para una página web (incluyendo las opciones de submenú).","给出的所有的网站（包括子菜单选项）的菜单选项的列表。","Gibt eine Liste aller Menüoptionen für eine Website (einschließlich Untermenüpunkte).","Donne une liste de toutes les options de menu pour un site web (y compris les options de sous-menu).","Fornisce un elenco di tutte le opzioni di menu per un sito web (comprese le opzioni del sottomenu).","Dá uma lista de todas as opções de menu para um website (incluindo opções de menu sub).","Δίνει μια λίστα με όλες τις επιλογές μενού για ένα δικτυακό τόπο (συμπεριλαμβανομένων των επιμέρους επιλογές του μενού).","Zawiera listę wszystkich opcji menu na stronie internetowej (w tym sub menu opcji).","Giver en liste over alle menupunkterne for en hjemmeside (herunder sub menupunkter).","Antaa luettelo kaikista valikon vaihtoehdot verkkosivuilla (myös alaryhmien valikkovaihtoehdot).","Gir en liste over alle menyalternativer for et nettsted (inkludert undermenyvalg).","يعطي قائمة من جميع الخيارات القائمة على موقع على شبكة الانترنت (بما في ذلك خيارات القائمة الفرعية).","(서브 메뉴 옵션을 포함)의 웹 사이트에 대한 모든 메뉴 옵션의리스트를 제공한다.","（サブメニューのオプションを含む）のウェブサイトのためのすべてのメニューオプションのリストを提供します。","נותן רשימה של כל אפשרויות התפריט לאתר (כולל אפשרויות תפריט משנה).","Ger en lista över alla alternativ på menyn för en webbplats (inklusive undermenyalternativ).","Dává seznam všech možností nabídky pro webové stránky (včetně dílčích možností menu).","Дает список всех опций меню для веб-сайта (в том числе суб опций меню).","Binibigyan ng isang listahan ng lahat ng mga pagpipilian sa menu para sa isang website (kabilang ang sub pagpipilian menu).","Naghatag og usa ka listahan sa tanan nga mga menu mga kapilian alang sa usa ka website (lakip na ang sub menu mga kapilian).",
